Q,A
난 그냥 못 들은 척하거나 무시하는데 친구는 꼭 나 못 마시는 걸 꼭 짚고 지나가야함 근데 이성 앞에서는 취한 척 하는 거 볼 때마다 너무 한심해,ㅇ? 소주병으로 대가리 후려치고 맷집 부심은 있냐고 물어봐
선형대수랑 물리 신청하고 학점 따면 가능?공대 수업 한번 들어보고 싶음,물리만 잘해도 명예공대생 가능
간만에 잔뜩 땡기는걸 아디는 까먹어서 걍 새로사려고하는데 지금 살만한 가치있니?,저이지요
고구마빵이나 감자빵 먹어본 사람????,제가 고구마빵을 먹어본 사람입니다
혹시 주인있으신가요..?,귀엽다
검색하니 진짜있네,ㅋㅋㅋㅋ세계 3차대전 곧 일어나겠노
어그 살려고 하는데 스트랩 없는거 신고 돌아다니기 불편해? 엄마랑 하나씩 신을거라 스트랩 살까했는데 안맞아서 쓸릴까봐 걱정임..🤔 원래 평범한 베이지 살려다가 내가 하도 거무죽죽한 옷만 입어서 회색으로 살까 하는데 그냥 베이직이 나으려나..? 슬리퍼 주제에 이십만원 가까이해서 함부로 사기가 뭐함,20만원 값을 해.. 나 이거 산 후로 다른 거 못신어 넘 편해 그리고 어그는 베이지가 젤 이쁘더라고
취미로 디저트 만드는 사람인데나중에 기회될때 나눠준다하면 사람들이 좋아할까?피드백도 받아보고싶어서..,완전
문콘스 10점짜리 대회나가는거 뭐임 이미 지남?,지남ㅋㅋㅋ
9주차 수업 이해안가는데 학교에서 알려주실분?카페기프티콘 드림,저요
여자입니다우범지역이 있다고해서요 그런걸 몰라요,관저동으로 오자~
공기업 생각 중인데 랩실에 들어가는게 좋을까요 아니면 랩실에서 공모전 준비 할 시간에 자격증 준비하는게 좋을까요???,난 후자가 좋다고 생각해 나도 토목인데 공기업 준비하는 사람 오랜만에 보네
뭐냐 한밭관 벌집있나?? 방충망 밖에 벌 있네,말벌 큰거야?
그냥 지좆대로 운영하는거임?,그런게 있었나
일리터 빽다방 말고 없나요?? ㅜ,엥 학교 앞에 빽다방도 생김??
"1종 보통 따면 면허에 1종 보통만 떠?만약 2종 보통 딴 다음 1종 보통 또 따면 1종 보통, 2종 보통 다 떠? 아님 1종으로 변하나?",1종
안들어왔는데 원래 늦게 들어오는거야?,원래 학기말에 들어옵니다
찾아요,김밥볶음밥 로제떡볶이 깐풍기
검정색 3개 핑크색 3개 해서 38500원인데 너무 많아서 같이 살 사람 있어?개당 6400원이구 1L짜리야,하 1주일만 빨리올려주지ㅠㅠ
오늘 휴강이야???,ㅇㅇ
우리학교 군학점 있음?,없음
"본인 감기 걸려도 2일이상 간적이 없는데 5일째 몸살 코,목감기 걸림기침은 계속나오고 몸에 힘이없음약 먹어도 별 효과가 없음키트 해봤는데 2일째 연속 음성임 그냥 감기 지독하게 걸린건가?",사람마다 증상이 다름 자가키트 음성이여도 검사해서 양성나오는 경우도 있어서..
아 안보이는데,필요없음
임차버스 그냥 타도 되는건가요..?? 신청을 해야되는건가요...?? 한번도 안타봐가지구...,그냥 타도 됩니다
하면 학점에 포함 안되는건가요? 제가 1학기에 미적을 들엇는데 2학기에 재수강하고 잇고든요… 계절학기에 5학점을 채우지 않으면 학점이 부족해서… 부족하면 어떻게 되나요…,삭제된 댓글입니다.
긱사생만 사용 가능한 건가요? 원래규칙이? 발표때 사용할 정보가 필요해서....물어봅니다,조별과제면 도서관 3층 추천
내 윗방엔 킹콩이 사는건가?,여주 이뻐여?
밭대에 많은가요??,저요
ㅈㄱㄴ,옙 가보시면 아시겠지만 버스가 갈 수가 없는 곳인지라
향만 피우고 묵념 하다 오는 형식인거지? 절은 아니지?내가 내일 옷이 불편할것같아서 미리 물어봄,장례식장이라고 생각하셈
"자취하는 건물 빌런들 어떻게 처리함? 담배 피우는놈, 고성방가, 쿵쾅이 등등 못배워쳐먹은 놈들만 사는건물인데 ㅅㅂ 가만 생각해보니 내가 이사를 가야되나 싶다",ㅇㄷ?
피자스쿨가서 푸파하자,어느정도 배고프면 가능하긴함
듣는분 계신가요-?,저요
아직도 이용 못하나?,ㄴㄴ 오늘봤을때 이용 가능한거 같던데 안에 차 몇대 주차된거 보였어
오늘 진도 어디까지 나갔나요?,삭제된 댓글입니다.
받았름?나만 없나..,나도 없는디
지니 출신이 몇번임?,2
미러볼볼볼볼 켜놓고 노는사람들은 좀 하찮을지도..?,혹시 2층이면 걔네 중국인임 화 ㅈㄴ남
유닛 바닥이라 채워야 하는데 혼자 하려고 하면 안 하게 됨 ㅜ 간단한 거라도 같이 할 사람 있나,헌혈하셈. 전혈 말고 성분헌혈하면 2주마다 할수있고 2유닛씩 주는걸로알음
B대체 어케하는거임요..?,ㄱㅇㅈ 교수님?
과제 제출할 때 한장 요약해서 내라고 했는데 그럼 앞 뒤 둘다 써서 내면 되겠지? 앞에만 써서 내야 되나,앞
내일 가보려는데 헌화만 하고오면 되나?,향있는데 향만 놓고와
다 똑같나요???퍼펙트만 가봐서 알려주시면 감사하겠습니다 ~~,bob 만원 11시간 반피에스타 만원 11시간 반
급하게 필요한데,지금은 문 닫았지 6시까지 하지않나?
궁금한거 알려주실 분?ㅠㅠ,먼ㅂ데열ㄹ
뭐야? 호실마다 종이 한장한장 나눠주는거임?,삭제된 댓글입니다.
박경태교수님 담주쪽지시험범위 중간고사 이후부터맞나요??,옙
문자온거 가는사람 있어?,너 갈꺼야?
https://n.news.naver.com/article/003/0011511201?sid=102 안타깝다.. 분명히 막을 수 있는 사고였는데,어떤 애가 거기에 있던 사람 모두가 가해자이면서 피해자라던데 이걸봐도 그 생각이 들지 궁금. 통제해도 안듣는다면서 개개인의 잘못으로 몰아가던데 분명 예방할 수 있는 사고였음
33학점을 챙겨야되는데 2학기 들어도 30학점인데..겨울학기로 몇개 들으면 2학년으로 올라갈 수 있죠?,3학점 1개 or 2학점 2개
축제때 동아리 밴드에서 백예린 노래 부른거 제목 뭔가여??,핑크탑?
하계전투복밖에 없어서 그런데 안에 발열내의 히트텍같은거입고가야겠지?,오늘은 좀 서늘하더라그거 껴입고 가면 더울듯
"80점 만점 평균 50 표준편차 19 , 65점 받았는데 A가능?",모르쥐요
"기숙사사는데 택시, 버스 뭐탈까요?",삭제된 댓글입니다.
이번주랑 다음주 이론이랑 실험 일정이 어떻게 되는건가요...??ㅠㅠ 들었는데 헷갈려서요,화학 및 실험 1은 모르겠고 2는 11월 9일에 실험 2개을 몰아서 하구요. 11월16일에 휴강입니다. 9일이랑 16일 이론 수업 없어요.
파이썬만 배워서 C++ 아예 모르겠음,마이프로틴?
도서관 가기 귀찮은데,없어용
중간과제 300자이상 써도 된다고 하셨어??,거의 맞추라 하셨던거같은데
독후감 개꿀인가요?,ㅇㅇㅇ
몇점 만점인지 아세요?,35점이라고 문자왔네요 혹시 저번주 수업 공지 없었나요? 수업을 못가서요..
이거 전부다 f맞겠는데?..,며칠째 붙잡고있는데 진전이 없음
신광복 교수님 인장시험 보고서 어디로 제출하면되나요?,기계공작실험 말씀하시는 거면 n7동 6층에 랩십 앞에 제출하는 상자 있을겁니다
특기병 지원할까 하는데 보통 전기공은 특기병 어디로 지원함?,전기설비관리병 가던데 공병으로
장학금 노리는중인데 50~60만들기 힘들다,비대면땐 모으기 쉬웠는데 대면되니깐 빡세짐
ㅅㅇㅇ 교수님 저번주 수업을 못갔는데 공지사항 있으셨나요?..,오전? 오후?
분향소 갈 때 양복이나 비슷하게 갖춰서 안 입고 가면 안 가느니만 못한가..? 나 이런거 처음 가보는거라,최대한 검은걸로..
학교주변에 1.5룸급 저렴한 곳이 어디야..?,관리비 없이 30 내고잇음
택시 같이 타실 분?,밑에도 글 있긴한데 택시 어지간해선 안잡히니버스 ㄱㄱ
출석률도 저조하고 학교가 휑한듯..?시험끝이라 근가?,예비군
선형대수학 헬프룸 가려하는데 어디로 가야되나요..??,미적분이랑 같이해요
니네 코 좀 삐뚤어?아니 나 지금까지 살면서 크게 인지 못하고 살아왔는데 면접 준비하느라 얼굴 녹화하고 찍어보니 안경이 왜이리 삐뚤게 씌워져있냐 볼때마다 깜짝 놀람,사진찍으면 ㅈㄴ 어색하긴해
차댈데 많나요?,차로갈거면 맨 뒤에가기를 ㅋㅋㅋㅋㅋㅋ나 첫빠따끝났는데 시발 맨 구석에 세워서 바깥차 나갈때까지 못나감 ㅋㅋㅋㅋㅋㅋ하... 현타또오네
문 앞이라하면 택배 모여있는 곳에 놔주시나요?,긱사 공지에 있을걸
못 찾겠어 …,https://entest.co.kr/hanbattest 여기 들어가서 로그인하고 찾아바
오늘 dh 101맞나요??,몇시수업이세여?
두분이 사망하신거고 한분은 중태이신거고...?생각보다 더 많네 너무 안타깝다 중태이신분 꼭 건강되찾으셨으면,엥???! 한분 아니었어???
헌혈 봉사시간으로 인정해주면 유닛도 주나??,2유닛씩 줌~
한밭대학교 야간대 괜찮나요?,야간이제없을걸요
https://n.news.naver.com/article/629/0000181662이거 논란될 만한 거임? 분향소 설치한 거 정도면 충분히 할 일 한거 아닌가,....???
워홀이랑 교환학생 중에서 고민 중인데 학점 인정 안 되면 교환학생 갈 이유 있나?,학점 인정 안 되는 교환이 있음?
모의토익 못봤는데 11월 달에도 열리나여..?,ㅇㅇ 열려요
진로설계에서 하라는 모의토익 신청 어떻게 하는 거야? 안 하면 논패스라는데 ㅠ,한밭대 국제교류원 들어가면 모의토익 신청하는 거 있어요
1학년때 교필이나 전필 F맞은거 졸업하러면 다 재수강 들어야해? 졸업 학점 채워도 저거때문에 졸업 못하려나?,필수는 당연히 재수강
어제 샀는데 어플 잘되다가 갑자기 팅기는데 나만 그래?,2주째 쓰는데 나는 안그럼
여자들아남자향수로 이런거 좋았다한거 뭐있어?향수 다써서 고민중,맡으면 알듯ㅠ ㅇ
희망도서 받은 사람은 다른 나눔도서 못 받아가나요?,예전에 신청한 책 없어서 그냥 올라왔네요 ㅜ
하얀어 별로야?,ㄴㄴ 좋음 까만거 개싫어
제가 에세이를 써야하는데 책이 없어사ㅠㅠ 혹시 제목표기법 페이지만 사진찍어서 쪽지로 보내주실 수 있나요?? 부탁합니다…,책을 쳐 사세요 어딜 날로 먹으려고
무슨 동아리만 따로 사용가능한건가요,쓴걸 본적이없는데
혹시 요 나이키 제품 이름 아시는 분 있나용?ㅠㅠ,나이키 블레이저
실험 1번 빠지면 점수 영향 큰가요?,실험있는날이면 클수도
나 너무 슬퍼 ㅠㅠ,쉬겠냐;
진짜 꿀이야?..,아니...
혹시“ 더 베어”라는 드라마 나왔는지 확인해 줄 수 있을까...?,지금 검색해봤는데 안나온당
유닛 문의 어디로해? 유닛이 제대로 안들어온듯,유닛 거의 학기 말에 줘..
궁금한거있는데 쪽지점,ㄱ
8-4 쪽에 답틀린거있는데 나만그래? 피피티자료?,아진짜?
우리학굔 해당없지?,됨
소순 먹으러갈래?나랑사귈래? 소순에 다대기 넣을래 나랑사귈래?장난이고 같이 먹으러가자,소주랑 순대야?
언제오는지 어디서 확인가능한가요?,학교 보건소에 연락해보세요
12시 이후부터인가,12넘으면 개에바고 10시넘으면 주의해야지
쉬운 문제인 거 같긴 한데 알려주시면 감사하겠습니다,https://m.blog.naver.com/mindo1103/90103504970
요번주 모프과제 한 사람?나만 개어렵냐 매주 개스트레스네 진짜,인정 너무 어려움
헬스하시는 분들. 감기 걸렸어도 운동해? 심하지는 않은데 코감기+몸살 조금 있는데,아프면 쉬지
나만 갑자기 그럼? 뭐임 왜이럼,다 그럼
나만 그럼?,난 갑자기 정지 먹음
"폰으로 봐서 무슨 문제였는지, 답은 뭘 입력했는지도 모르던데, 하 그냥 속시원하게 물어보고 싶어요.. 성적이 너무 충격적이야..",그거 담당교수였나 지도교수한태 문제 뽑아줄 수 있냐고 하면 해주실껄
어금니는 초콜릿먹으면 끼잖아 그렇다면 양치로 박박 닦을 수 있는 앞니를 사용하면 충치를 아아아아아주 조금은 줄일 수 있지 않을까?? 라는 생각을 드네,ㅋㅋㅋ어금니 다썩어본 사람으로서 괜찮은데? 앞니도 잘 닦아야겠지만
트리플 빌라 어떠신가요? 아님 괜찮은 방 추천좀 해주세요~,그냥 나쁘지는 않은 것 같아요
나만 어려워? 진작 드랍할걸,삭제된 댓글입니다.
그래 뭐 서버 느려 터진건 이해하는데 왜 영상 다 봤는데 봤다고 인정이 안되는거냐? ㅅㅂ 같은 영상만 4번 넘게 봤는데 ㅋㅋㅋㅋ 그냥 유튭으로 올려줘라 서버 ㅈ같으니까,미리미리 하지
이번 일은 왜 남의 나라 명절 어쩌고하면서 피해자들을 탓하는걸까? 한강 의대생이랑 뭐가 다른거지??,의대생은 원인이 명확한게 아니니까  살해의심으로 추정되게 질질 끌었고 결론은 아니였지만
내츠는 구단 역사 최다패엘지 플옵 업셋젠지 4강딱사실 내가 암흑기운이었던건가?,한화바르샤
기깔나게 쉬는분? 막상 누워서 먹고자고 폰하기만 해서 너무 소모적으로 사는거 같아서뭐하고 쉬었는지 자랑해줘,운동
검색햇는데 안나와서 물어본당 !,10시
그게 뭐임? 문과도 있음?,없떠
기간 늘어난거 아님??,매 학기마다 늘려주더라. 제때 듣는 애들이 별로 없는듯함
있으신가요..?,s2에 있지않나요
얼마나 일찍 가야할까?,나 늦게갔는데도 1조주던데
안전교육 고위험군인지 저위험군인지 어디서 알수 있나요?..,삭제된 댓글입니다.
내일 예비군가는데 야상입고가면 더울까요?그냥 전투복상의만 입기에는 좀 추울거같아서,같이 가실래요?
아까 잠깐 서버 터지기 전에 들어가서 봤는데 기간 11월 27까지로 연장된거 맞나요?,ㄴㄴ
알려쥬세요 ㅠㅠ,매월 첫째주 월요일에 합니다.
나만 안들어가짐?,나도 안들어가져….
누가 프린트카페 로그아웃안된 카톡으로 이상한톡 올렸다는건 봤는데 뭐라했길래??,그거까지는 말 안해줬을걸 로그아웃 안됐으면 그냥 냅두던가 카톡에 이상한거 올렸나바 선넘었지
이런 ㅅㄲ들은 지가 이태원에서 뒤져서 다른 사람이 저런 말 하거나 지 지인이 피해자여서 다른 사람이 저런 말하면 기분 좋을까? 익명이라고 말 ㅈ나 무지성으로 하는 새끼들이 우리 학교 학생이라는게 ㅈ나 싫다,밖에서도 당당하게 하라고 제발 ㅋㅋㅋ
몇시차 타야함? 타본 사람 있낭ᆢㄷ,그냥 최대한 빨리가서 줄서..
밭대에서 어캐 가는게 젤 빨라...? 버스로,네이버지도
반석역에서 같이 택시타실분?,저요
지금 나만 안들어가짐? 오늘까진데 서버 왜이럼..?,서버 터진듯요
"많은 사람들이 허무하게 목숨을 잃었고 정말 슬픈 사건인건 맞아 근데 놀다가 죽은 사람들한테 지원금이니, 국가애도기간이니, 분향소니 이건 좀 뇌절인거 같은데...?",삭제된 댓글입니다.
이게 무슨....,"이태원에서 죽으면 지원금 + 세금, 통신요금 감면 나라지키다 죽으면 느그 아들"
왜 놀다 쳐뒤진걸로 지원금주냐고 하면서 이태원 간 사람들 비난하는거임? 천안함도 5일이던데.. 7일이나 하는건 뭔생각인가 싶네,싫다는거야 좋다는거야
while문 안에 if문이 있고 if문 안에서 continue를 하게되먄 if문만 빠져나오나요?? 아니면 while문도 빠져나오나요??,if문을 탈출하는게 맞습니다
모바일로 이 화면에서 안 넘어가는데 어떡하나요? 로딩중인건가요? 모바일론 안 해봐서 모르겠어요 ㅠㅜ,검은화면 연타하면 없어져!
아이스크림먹는거 까지 애도해야되냐? 31행사가 할로윈이랑 연관있는것도 아니고 진짜 헛웃음 만나오네ㅋㅋㅋ,이해못하는 내가 쌉 병신인가?
관저동안오는게 맞나요?,왜 안오나요 당연히 오죠 임차버스 노선에 우리 학교 로고박힌 대형 버스만 운행 안 하고 임차버스는 등교 하교 정상 운행해요
1시간 걸리긴하는디,올때 택시타서 갈때 버스타야함 나는..
경회 진설 3 내일 휴강 아니죠??,알려주세요🥺
"금요일 오후반인데 제가 저번주 지각을 해서요,, 혹시 이번주 금요일 영화제?로 수업 대체되는거 정확한 정보좀 부탁드립니다 ㅠ 시간이랑 장소 출석 그런거요 ㅠㅜ",11월 4일 금요일 아트홀..? 에서 열리는 청소년 영화제 보면 돼용 3시-4시까지 있으면 되고 그 뒤로는 시간되는 사람들만 자율적으로 보러다니라고 하셨어요…! 그리구 3시에 도착하면 어떤 여자분한테 이름이랑 학번 말하면 된다고 하셨어요..!
하나카드 ㅂㅇㅈ씨 연락 없으시면 내일 S3 과사에 맡겨 놓겠습니다,"아니 뭔,, 줍자마자 맡기는거야 원래,,"
오늘까지인데 들어야 하나요??,일부 수업에서 불이익 있을 수 있다고 들었는데
긱사 앞 운동장 골대 기준으로 몇미터정도 나오나요??,ㅎㄷ가머임
에타에서는 왜 교수님 성함을 초성으로 쓰나요??,교수님도 에타 하셔서
오늘 예비군 한사람들중에 px갔다와본사람 있어?,다녀왔는데 ㅈ도 없음
방금 S2동 들어가는데 어떤 아저씨분이 이태원 관련 분향소 설치된거 있냐고 물으셨는데 난 못들었거든,없음
다들 너브기어 구함?,1500달러 ㅎㄷㄷ
이거 해결하는 방법 아는사람...?,재부팅
우측통행 잘 다니고있었네??위쪽에서 미는놈때문에 파도처럼 여러차례 밀려나더니 우측통행 깨지면서 막 밀려나고 난리났네밀었다는 무리 증언이 계속 나오는데 얘네가 안밀었으면 우측통행으로 잘 다니던 흐름 깨지지도 않고 사고도 안일어났을거같은데?,확실히 밀어서 트리거가 된건 분명함
수요일에 가는데 아시는분 있으신가요?,뭐든지 미리 말씀드리고 과사에도 말씀
교재 목차 사진 좀 찍어줄 사람...?,구해써?
학교 근처에 등본 발급받을 만한 곳 있어?,학하동 주민센터 있는데 멀어서 비추
한 90만원정도 있어서 맥북에어m1 아니면 그램으로 사려고 하는데 뭐가 나을까요..? 추천 점,디자인 빼고 그램 압승
현재2명이예요,꽉찼나용
저번주에 안 가서 그런데 혹시 저번주 월요일날 조짜서 토론 2번 했나요?,네! 새끼 서 발이랑 팥죽할머니 해서 2번 토론하고 결과 발표했어요
올해는 작년것만 인정되는거죠?,20 21년에 한것만 해당됩니다
다같이 하고 싶은데 충대 애들도 있으면 좋구보통 이런 건 어디서 알아보면 돼?,카페?
아님 뾱뾱이 따로 구해야 하나,뾱뾱이 있어!
내년에 복학하면서 계속할 생각으로 주말오전 편의점알바하려는데 학교다니면서 알바하는거 할만한가요??,"알바를 계속 하면서 느끼지만 본인 체력에 맞게, 서비스업이다 보니 멘탈에 무리 안갈정도만 하면 괜찮은 것 같아요"
무단이나 병결이나 같나요??,병결 출석사유 인정되는 경우 아니면 둘 다 똑같아요
교육들어서 시간차감되는거 아무것도 안 뽑아가도 되나요?,ㅇㅇ 헌혈했으면 헌혈증만
가오동가는 셔틀버스 밤 11시에도 있나요?,가오동 가는 야간 버스 있네요
10시가 다되가는데 아직도 사람들 계속들어오네,총기불출하고 뭐하면 10시넘어서 시작함
4번 빠져야 f인가요??,아직도 이런거 물어보는 친구가 있네2학기 들어와서 입학하셨어요..??
납작해졌군이 대사는 이 시국에 좀 아닌 듯,별게 다 불편하네 하다하다 게임에서도 눈치 봐야 되냐
인권과 사회 중간고사 오픈북이던대 아이패드로 피피티 봐도 상관없나요??,검색 우려때문에 안되지않을까요? 잘 모르겠네요
1시간짜리든 뭐든 시간안에 있는건 다 적으라고 대있던데  싸강은 상관업잖아안써도 대지?,ㅇㅇ
뭐 안먹고있어도 쩝쩝거리고 침 오물거리는(?)소리 진짜 거슬린다,삭제된 댓글입니다.
만점 얼마일까여? 죄다4던뎅.. 5인가..?,어디에 나와잇음!
친구 생일 선물로 사주려고 하는데 보통 어디에서 사나요?,크림
족보에서 주로 내시나요?,피피티만 공부해도 ㅆㄱㄴ
다들 비용 얼마정도 드시나요?,롯데 택배앱으로 보냈을 땐 한 5000원이었나? 그랬음
언제까지 제출이에요?,찾아봐...이미 늦었어
기말 망쳐서 재수강 하는게 나아 아니면 b0여도 c만 안나오게 하는게 나아?,b만 맞아도 굳이 재수강을?
왜 옛날 과제들 안뜨지?.. 중간고사 끝나서 지워진거임?,그걸 이제알았다고?
멀리서 사는 친구가 저 보러 온다는데 충대쪽에서 놀 것 같아요~!,그 맛있는 중국집있는데
반복문 3번이라고 설정했는데 왜 5번 해야 종료될까요?,오호 코드 전체를 다 봐야 알겠죠??
11월4일날 청소년 영화제 보는거 수업 대신 그거 보는건가요? 월 오후반인데,삭제된 댓글입니다.
볼링 진짜 못 처서 연습할까 하는데 같이 하실 분,수요일 5시 이후 가능?
인포알바 지원했는데 처음이라,나오전은 은근 꿀임
집에 베레모밖에없는데 검사하나요??처음이라그런데 입구에서검사하고 통과하면 그이후론 복장으론 터치안하나요??,ㄴㄴ 짐임
다들 기숙사 와이파이 멀쩡한가요? 전 학기초에 쓰지도 못할정도로 상태가 메롱이었다가 요새 나름 멀쩡해지긴 했는데,전 원래 멀쩡했어요
근데 이거 누구말로는 사고 전이라하고 누구 말로는 사고 난 후에 수습중일때 라던데 뭐가 맞는 말임?,수습중이니깐 그렇게 소방차랑 구급차가 몰리지않았을까..?
누가 이길거같음?,1. 젠지
구마유시 팬됐다,지림ㅇㅇ
우리 집 고영님 목도리나 조끼 만들어줄까 하는데 같이 하실분??.? 다른거여도 됨! 코바늘 대바늘 가르쳐 줄 수 있어영!!(실 같이 사면 좋을거 같아성!!),고양이 목도리 만드는거에요?
궁금하다 보통 여자들은 자기보다 학벌 낮은 사람 안 만나려고 한다고 해서,나 명지대 미대에 만났었는데 나보다 좋은건가?
유니폼 안에 브래지어 같은거 왜입는거야??,꼭쥐쓰 쓸리면 피나서
중간고사 대체과제 찬성 반대 둘 중 하나만 골라서 1500자 작성하는거죠?,교수한테 직접 물어보면 될걸 ;
찬반측 각각 1500자인가요?아님 합쳐서 1500자인가요,각각
뜨개질 같이 하실 분 계신가요 ?,뜨개질 잘하시나요?
치킨 어디꺼가 젤 마싯는거 같음?,최근에 자담치킨 맵슐랭 먹어봤는데 맛있더라
오늘 아침에 토하고 설사를 하다하다 걍 물만 싸고 있는 상황입니다.당직병원 가서 약 받고 수액이랑 주사까지 맞고 왔어요..(병원에서 또 토함)아까 3시쯤에 약먹으려고 호박죽을 밥그릇으로 반그릇 먹고 약먹고 자고 일어난 겁니다.내일 학교 수업 두 개 있는데 진로설계랑 발표와 토론이어서 더 고민됩니다. 3~4시간짜리 전공 이런거였으면 고민도 안하고 걍 쉴 건데 다 짧은 수업입니다.걍 쉴까요..?,그정도면 쉬세요
학교에서 예비군만 모아서 출발하는 버스 없나요?,있었던거 같긴 한데...
저번에 구입인원 적어서 과잠 취소됐는데 내년에 23학번 아니더라도 다룬 학번 과잠 구입할 수 있나요?,몰?루
그사람들 목숨값이 가벼워지는건 아니잖아. 클럽에 갔다가 죽으면 죽을만 한거고 안슬픈거야? 20대 젊은 나이에 번화가에서 할로윈 파티 즐길생각하는게 잘못된건가 오히려 자연스러운거지. 왜 그런걸로 이 사건을 가볍게 보는거지,놀다가 죽은거고 슬프긴하겠는데 사람이 좁은 골목에 저렇게 몰리는데 굳이 들어간 게 멍청하네롯데월드 압사 보고 느낀게 없나 보다 싶다
이건 뭔 감성임?,사람마다 생각이 다른거지 뭘ㅋㅋ 신경삭이 이어진 것도 아니고
이게 맞냐? 21세기 전세계 참사 9위라네 이번사건이 그냥 모든게 안타까울뿐이다,이렇게 큰 사건인데 감성팔이니 뭐니 하는건 그냥 어디 선동당해서 판단력이 흐려진거임
"1. 경찰 인력을 더 배치했어야 한다?경찰이 가지 말란다고 안 가고 경찰이 있다고 사람들이 안 몰리냐?? 사고 나고서 경찰분들이랑 소방관분들 한시라도 빨리 집으로 돌아가라니까 ‘그럼 우리는 어디에서 놀라고요?!‘ 시전하는 사람들이 경찰 인력 더 배치했다고 잘도 안 왔겠다2. 추모와 애도하는건 뭐라고 할 수는 없음자기가 안타깝게 생각하고 추모하겠다는데 우리가 뭐라 그럴 자격이 있냐? 근데 국가 애도기간으로 정할만큼 국가를 위해 일을 하다가 돌아가셨다든지 가해자가 명확히 있어서 죄 없는 사람들이 안타깝게 희생당한 게 아닌데 국가 애도기간으로 정할만큼인지는 궁금함그동안 안타까운 사건 사고들, 자연재해 및 대기업의 횡포로 인해 안타깝게 돌아가신 분들도 많은데 그런 생각이 듦3. 지원금이거는 뭐 법적으로 재난으로 선포되어서 어쩔수 없다지만 솔직히 지원금을 준다 하면 그 상황에서 사람 살리려고 고군분투하시고 끝까지 그 자리 지키고 그 아비규환 상태에서 한 사람이라도 더 구하겠다고 최선을 다하신 경찰분들 소방관분들께 위로금을 드리는게 더 맞지 않나 싶음놀려고 갔다가 돌아가셨다 해서 사람들에게 조롱당해서는 안 된다고 생각하지만 그냥 몇 년 전부터 무슨 사건 사고만 났다 하면 무조건 감성적으로 접근하고 조금만 더 현실을 생각하는 사람들 보면 싸이코라고 하는 이 상황 자체가 너무 안타까움",애초에 배치된 경찰 인력이 인파 통제를 위한 게 아니라 마약단속 소매치기 단속 같은 범죄 단속을 위해 배치된 거였음 만약 통제를 위해 파견됐다면? 이라는 걸 생각하기 마련이지...
https://n.news.naver.com/article/008/0004811890?cds=news_my,진짜 안타깝다..
걍 다른 큰 사고 생기지 말라는 방지 차원에서 허울좋게 기간잡아서 주의주는 거 아님?,그런건가.. 근데 그렇게 멀리 내다보는 대통령이 아닌 것 같아서..ㅋㅋㅋㅋ
